ROCK NAME,DESCRIPTION
Basalt,"dark-colored volcanic rock formed from the rapid cooling of lava flows, typically consisting of fine-grained minerals such as pyroxene and plagioclase."
Basalt,"dark, fine-grained volcanic rock formed from solidified lava flows, often characterized by a dense and uniform texture"
Basalt,"A dark-colored, fine-grained, igneous rock composed mainly of plagioclase and pyroxene minerals."
Blueschist,foliated coarse mixed light and dark wrinkled foliation often has large crystals
Blueschist,Metamorphic rock characterized by the presence of blue-colored minerals such as glaucophane.
Blueschist, It is usually blue in color and has a fine-grained texture
Blueschist,"metamorphic rock with a foliated fabric, displaying a blue color due to the presence of glaucophane and garnet minerals"
Blueschist,Fine-grained metamorphic rock with a smooth texture.
Blueschist,"metamorphic rock with a foliated structure, displaying a blue coloration due to the presence of glaucophane and garnet minerals."
Blueschist,"metamorphic rock rich in blue amphibole minerals, such as glaucophane or riebeckite, often with additional minerals like garnet or lawsonite."
Blueschist,"dense, blue-colored metamorphic rock created under high-pressure conditions, often associated with subduction zones and tectonic activity."
Blueschist,foliated coarse mixed light and dark wrinkled foliation often has large crystals
Blueschist,"metamorphic rock formed under high-pressure, low-temperature conditions in subduction zones."
Blueschist,A metamorphic rock that forms under high-pressure conditions such as those at subduction zones.
Blueschist,"high-pressure metamorphic rock exhibiting a blue color due to the presence of minerals like glaucophane and garnet, formed in subduction zones."
Blueschist,"fine-grained metamorphic rock characterized by its blue-green color, typically composed of minerals like glaucophane and garnet."
Blueschist,Blue or blue-green rock found in high-pressure metamorphic zones.
Blueschist,Blue or blue-green rock found in high-pressure metamorphic zones.
Blueschist,"metamorphic rock that forms under high-pressure, low-temperature conditions, typically exhibiting a blue color due to the presence of minerals like glaucophane."
Blueschist,"Blueschist is a metamorphic rock that forms under high-pressure, low-temperature conditions"
Blueschist,"A metamorphic rock with a blue color due to the presence of minerals such as glaucophane and lawsonite, formed under high-pressure conditions."
Blueschist,"metamorphic rock with a foliated structure, displaying a blue coloration due to the presence of glaucophane and garnet minerals."
Blueschist,"is a metamorphic rock that contains amphibole, especially hornblende and actinolite, as well as plagioclase feldspar, but with little or no quartz. It is typically dark-colored and dense, with a weakly foliated or schistose (flaky) structure. The small flakes of black and white in the rock often give it a salt-and-pepper appearance."
Breccia,"A sedimentary rock composed of angular fragments cemented together, often creating a mosaic-like appearance."
Breccia,hard or soft mixed grain size mixed with rocks and sediment contains sharp pieces in finer sediment matrix
Breccia,"coarse-grained sedimentary rock composed of angular rock fragments of various colors and sizes, embedded in a matrix."
Breccia,"clastic sedimentary rock characterized by its angular rock fragments and coarse-grained matrix, formed through the lithification of fragmented material."
Breccia,It can be composed of any type of rock fragments and can vary in color depending on the fragments present
Breccia,"sedimentary or volcanic rock composed of angular fragments of various minerals or rock types, cemented together by a matrix material."
Breccia,Rock composed of angular fragments with a fragmented texture.
Breccia,"rock formed by the cementation of angular rock fragments, often found in fault zones or as a result of explosive volcanic activity."
Breccia,A clastic sedimentary rock composed of angular fragments larger than 2 millimeters in diameter.
Breccia,"Rock composed of angular fragments, found in various geological settings."
Breccia,Breccia is a clastic sedimentary rock that is composed of angular fragments of other rocks that have been cemented together
Breccia,"rock composed of angular fragments cemented together, showcasing a jumbled appearance and a wide range of colors and textures."
Breccia,Rock composed of angular fragments cemented together.
Breccia,A clastic sedimentary rock composed of angular fragments. spaces between the large fragments can be filled with a matrix of smaller particles or a mineral cement that binds the rock together
Breccia,"Rock composed of angular fragments, found in various geological settings."
Breccia,"sedimentary rock composed of angular fragments cemented together, forming a distinctive mosaic-like appearance."
Breccia,hard or soft mixed grain size mixed with rocks and sediment contains sharp pieces in finer sediment matrix
Breccia,"rock with a clastic structure, composed of angular fragments cemented together."
Breccia,"sedimentary rock with a clastic fabric, composed of angular fragments cemented together."
Breccia,"sedimentary rock with a clastic structure, composed of angular fragments cemented together."
Carbonatite,"rare igneous rock composed primarily of carbonate minerals, such as calcite or dolomite, often with additional minerals like pyrochlore or apatite."
Carbonatite,"Light-colored rock composed mostly of carbonate minerals, found in alkaline igneous provinces."
Carbonatite,"igneous rock with a massive fabric, characterized by a uniform texture resulting from the crystallization of carbonate minerals."
Carbonatite,"intrusive or extrusive igneous rock composed mostly of carbonate minerals, typically associated with alkaline igneous activity."
Carbonatite,carbonate mineral fine to coarse-grained  light-colored contains high concentrations of rare earth elements and other exotic minerals.
Carbonatite,Carbonatite is an intrusive igneous rock that is composed primarily of carbonate minerals such as calcite or dolomite.
Carbonatite,"Light-colored rock composed mostly of carbonate minerals, found in alkaline igneous provinces."
Carbonatite,"igneous rock with a massive structure, characterized by a uniform texture resulting from the crystallization of carbonate minerals."
Carbonatite,"rare igneous rock composed predominantly of carbonate minerals, often associated with the intrusion of alkali-rich magmas."
Carbonatite,"It can also contain minor amounts of other minerals such as apatite, magnetite, phlogopite"
Carbonatite,"unusual igneous rock composed primarily of carbonate minerals, often exhibiting a distinctive white or light-colored appearance."
Carbonatite,igneous rock composed mainly of carbonate minerals such as calcite or dolomite.
Carbonatite,Igneous rock primarily composed of carbonate minerals.
Carbonatite, An igneous rock composed mainly of carbonate minerals such as calcite or dolomite.
Carbonatite,"rock composed mainly of carbonate minerals, typically exhibiting a range of colors, including white, gray, and brown."
Carbonatite,Rock with a granular or crystalline texture.
Carbonatite,"An igneous rock composed primarily of carbonate minerals, which are relatively rare compared to other rock types."
Carbonatite,"intrusive igneous rock composed primarily of carbonate minerals, rare and often associated with the intrusion of alkaline igneous complexe"
Carbonatite,carbonate mineral fine to coarse-grained  light-colored contains high concentrations of rare earth elements and other exotic minerals.
Carbonatite,"igneous rock with a massive structure, characterized by a uniform texture resulting from the crystallization of carbonate minerals."
Chalk,soft and porous sedimentary rock primarily composed of microscopic shells of marine plankton
Chalk,"sedimentary rock with a bioclastic fabric, formed from the accumulation of microscopic marine organism shells."
Chalk, It can be used as a fertilizer or as a building material
Chalk,White or light-colored sedimentary rock formed from the remains of marine organisms.
Chalk," is a soft, white sedimentary rock that is composed primarily of microscopic shells of planktonic organisms called foraminifera."
Chalk,"A soft, white, and porous sedimentary rock composed of microscopic shells of marine organisms, commonly used in teaching and writing."
Chalk,sedimentary rock formed from the accumulation of microscopic marine organisms in shallow marine environments.
Chalk,"A soft, white sedimentary rock composed mainly of the shells of microscopic marine organisms called foraminifera."
Chalk,"soft, porous conatins calcium carbonate white in color."
Chalk,"soft, white, and porous sedimentary rock primarily composed of microscopic shells of marine organisms, primarily calcite."
Chalk,"sedimentary rock with a bioclastic structure, formed from the accumulation of microscopic marine organism shells."
Chalk,"sedimentary rock with a bioclastic structure, formed from the accumulation of microscopic marine organism shells."
Chalk,"soft, porous conatins calcium carbonate white in color."
Chalk,"soft, porous sedimentary rock made of microcrystalline calcium carbonate, commonly used for writing and drawing."
Chalk,Soft rock with a powdery or chalky texture.
Chalk,"soft, fine-grained sedimentary rock composed primarily of microscopic calcite shells, often white or pale gray in color."
Chalk,White or light-colored sedimentary rock formed from the remains of marine organisms.
Chalk,"soft, powdery rock made up of the remains of microscopic marine organisms, typically white or pale in color."
Chalk,"soft, white sedimentary rock composed mainly of the shells of microscopic marine organisms called foraminifera."
Chalk,Soft sedimentary rock made of microcrystalline calcium carbonate.
Chert,a sedimentary rock that is composed primarily of microcrystalline quartz.
Chert,Various colors (often gray or brown) sedimentary rock found in limestone or dolostone formations.
Chert,Hard rock with a conchoidal fracture and a granular texture.
Chert,"It can be found in many colors including white, gray, brown, red, green, and black"
Chert,"hard, dense sedimentary rock composed mainly of microcrystalline quartz."
Chert,"hard, microcrystalline sedimentary rock composed mostly of silica"
Chert,"sedimentary rock formed from the deposition of silica-rich material, commonly found in marine settings or as nodules in sedimentary rocks."
Chert,"A hard and brittle sedimentary rock made up of microcrystalline quartz, often occurring as nodules or bands"
Chert,"hard, brittle sedimentary rock made of microcrystalline quartz, often occurring as nodules or bands in other rocks."
Chert,"sedimentary rock with a cryptocrystalline fabric, consisting of tightly packed microcrystalline quartz grains."
Chert,Various colors (often gray or brown) sedimentary rock found in limestone or dolostone formations.
Chert,hard fine chalcedony no fizzing with acid
Chert,"A hard, dense sedimentary rock composed mainly of microcrystalline quartz."
Chert,"microcrystalline sedimentary rock composed mainly of silica, often with abundant microfossils or cryptocrystalline quartz."
Chert,"sedimentary rock with a cryptocrystalline structure, consisting of tightly packed microcrystalline quartz grains."
Chert,hard fine chalcedony no fizzing with acid
Chert,"hard, compact rock primarily composed of microcrystalline quartz, commonly displaying a conchoidal fracture and occurring in a variety of colors."
Chert,"hard, microcrystalline rock with a variety of colors, including white, gray, brown, black, and red, commonly used for toolmaking."
Chert,Hard sedimentary rock consisting mainly of microcrystalline quartz.
Chert,"sedimentary rock with a cryptocrystalline structure, consisting of tightly packed microcrystalline quartz grains."
Coal,"Black or brown combustible rock formed from the remains of plant material, found in coal deposits."
Coal,"A combustible sedimentary rock formed from the remains of plant matter, used extensively as a source of energy."
Coal,"combustible sedimentary rock formed from compressed plant matter, varying in color from black to brown and widely used as a fuel source."
Coal,"combustible sedimentary rock formed from the remains of plant material, primarily consisting of carbon, hydrogen, and oxygen."
Coal, It can be used as a fuel source or to generate electricity
Coal,Combustible rock with a layered or compacted texture.
Coal,"rock with a layered structure, formed from the accumulation and compaction of carbon-rich plant remains."
Coal,combustible black or brownish-black sedimentary rock composed mainly of carbon and hydrocarbons
Coal,"sedimentary rock with a layered fabric, formed from the accumulation and compaction of plant remains rich in carbon."
Coal,is a combustible sedimentary rock that forms from the accumulation of plant material in swamps or bogs
Coal,"Combustible rock derived from the remains of plant material, mainly composed of carbon."
Coal,combustible sedimentary rock
Coal,sedimentary rock formed from the accumulation and compaction of plant remains in swampy environments.
Coal,"Black or brown combustible rock formed from the remains of plant material, found in coal deposits."
Coal,"A hard, dense sedimentary rock composed mainly of microcrystalline quartz."
Coal,"sedimentary rock formed from the remains of plant material, primarily composed of carbonized plant fragments and organic matter."
Coal,soft fine carbon black burns with tarry smoke
Coal,"sedimentary rock with a black color and a range of grain sizes, formed from the remains of plant matter."
Coal,"sedimentary rock with a layered structure, formed from the accumulation and compaction of carbon-rich plant remains."
Coal,soft fine carbon black burns with tarry smoke
Conglomerate,clastic sedimentary rock composed of rounded fragments larger than 2 millimeters in diameter.
Conglomerate,Coarse-grained sedimentary rock with rounded fragments embedded in a matrix.
Conglomerate,"coarse-grained sedimentary rock composed of rounded rock fragments of various colors and sizes, embedded in a matrix."
Conglomerate, It can be composed of any type of rock fragments and can vary in color depending on the fragments present
Conglomerate,"coarse-grained sedimentary rock consisting of rounded fragments embedded in a matrix, often exhibiting a pebble-filled appearance"
Conglomerate,"sedimentary rock with a clastic structure, composed of rounded pebbles or larger clasts embedded in a matrix."
Conglomerate,"rock with a clastic structure, composed of rounded pebbles or larger clasts embedded in a matrix."
Conglomerate,hard or soft mixed grain sizes contains mixed rock and sediment typically round rocks in fine matrix
Conglomerate,is a clastic sedimentary rock that is composed of rounded fragments of other rocks that have been cemented together
Conglomerate,"coarse-grained sedimentary rock composed of rounded rock fragments embedded in a matrix, typically formed in high-energy environments such as riverbeds."
Conglomerate,hard or soft mixed grain sizes contains mixed rock and sediment typically round rocks in fine matrix
Conglomerate,"sedimentary rock composed of rounded rock fragments, typically found in river channels, alluvial fans, or ancient beach deposits."
Conglomerate,A clastic sedimentary rock composed of rounded fragments larger than 2 millimeters in diameter.
Conglomerate,"sedimentary rock composed of rounded or angular fragments of various minerals or rock types, typically cemented together by finer-grained material."
Conglomerate,"coarse-grained sedimentary rock consisting of rounded fragments embedded in a matrix, often exhibiting a pebble-filled appearance."
Conglomerate,"sedimentary rock with a clastic fabric, composed of rounded pebbles or larger clasts embedded in a matrix."
Conglomerate,"Rock composed of rounded fragments, found in alluvial or fluvial environments."
Conglomerate,"A coarse-grained sedimentary rock consisting of rounded fragments embedded in a matrix, typically formed in high-energy environments."
Conglomerate,Coarse-grained rock with a clastic or pebbly texture.
Conglomerate,"Rock composed of rounded fragments, found in alluvial or fluvial environments."
Diamictite,"Rock formed from a mixture of different-sized particles, found in glacial or sedimentary settings."
Diamictite,"A sedimentary rock characterized by a mixture of different-sized particles, often associated with glacial or cold-climate environments."
Diamictite,sedimentary rock that contains a mixture of grain sizes and types.
Diamictite,"sedimentary rock consisting of a mixture of different-sized particles, often associated with glacial or sedimentary flow environments."
Diamictite,"sedimentary rock composed of a jumble of different-sized particles, formed by a variety of processes such as glaciers or landslides."
Diamictite,"sedimentary rock characterized by a mixture of different-sized particles, including boulders, pebbles, sand, and clay, often with a variety of mineralogical compositions."
Diamictite,mixed range of grain sizes and mixed matrix associated with glacial or high-energy sedimentary environments.
Diamictite,"sedimentary rock composed of a jumble of different-sized particles, formed by a variety of processes such as glaciers or landslides."
Diamictite,mixed range of grain sizes and mixed matrix associated with glacial or high-energy sedimentary environments.
Diamictite,"Diamictites are sedimentary rocks that are composed of poorly sorted mixtures of different-sized particles such as sand, silt, clay, gravel or boulders."
Diamictite,Rock with a chaotic mixture of different-sized particles.
Diamictite,A sedimentary rock that contains a mixture of grain sizes and types.
Diamictite,"Rock formed from a mixture of different-sized particles, found in glacial or sedimentary settings."
Diamictite,"sedimentary rock with a matrix-supported fabric, consisting of a mixture of various-sized clasts within a fine-grained matrix."
Diamictite,They are usually formed by glacial activity or by debris flows in rivers or oceans
Diamictite,"sedimentary rock with a matrix-supported structure, consisting of a mixture of various-sized clasts within a fine-grained matrix."
Diamictite,"sedimentary rock with a matrix-supported structure, consisting of a mixture of various-sized clasts within a fine-grained matrix."
Diamictite,sedimentary rock consisting of a mixture of different-sized particles
Diamictite,Sedimentary rock containing a mixture of different-sized particles.
Diamictite,"sedimentary rock with a variable grain size and a mixture of different-sized particles, including boulders, pebbles, and clay."
Dolomite,A sedimentary rock composed mainly of the mineral dolomite (calcium magnesium carbonate).
Dolomite,grayish-white color and used in construction and the production of magnesium.
Dolomite,"A sedimentary rock composed primarily of the mineral dolomite, known for its pinkish-gray color and ability to effervesce with acid."
Dolomite,"sedimentary rock composed primarily of the mineral dolomite, often found in marine environments rich in magnesium."
Dolomite,is a sedimentary rock that is composed primarily of the mineral dolomite (CaMg(CO3)2).
Dolomite,"Light-colored rock composed of the mineral dolomite, found in sedimentary environments."
Dolomite,"sedimentary rock composed mainly of the mineral dolomite, usually light gray or pinkish in color and often containing fossil fragments."
Dolomite,"soft coarse or fine dolomite, not fizzing with acid unless powdered"
Dolomite,"rock with a crystalline structure, primarily composed of dolomite minerals exhibiting a well-developed crystal structure"
Dolomite,It can be white to pink to gray in color and has a dull luster
Dolomite,Rock with a fine-grained or crystalline texture.
Dolomite,"sedimentary rock with a crystalline structure, primarily composed of dolomite minerals exhibiting a well-developed crystal structure."
Dolomite,"soft coarse or fine dolomite, not fizzing with acid unless powdered"
Dolomite,"sedimentary rock composed mainly of the mineral dolomite, usually light gray or pinkish in color and often containing fossil fragments."
Dolomite,"sedimentary rock primarily composed of the mineral dolomite, which is a calcium magnesium carbonate."
Dolomite,"Sedimentary rock mainly composed of the mineral dolomite, often with pinkish or gray coloration."
Dolomite,sedimentary rock composed mainly of the mineral dolomite
Dolomite,"sedimentary rock composed of the mineral dolomite, often exhibiting white, gray, or pinkish colors."
Dolomite,"Light-colored rock composed of the mineral dolomite, found in sedimentary environments."
Dolomite,"sedimentary rock with a crystalline fabric, composed mainly of dolomite minerals exhibiting a well-developed crystal structure."
Eclogite,A metamorphic rock that forms under high-pressure conditions such as those at subduction zones.
Eclogite,"dense, dark-colored metamorphic rock formed under high-pressure conditions, typically consisting of green pyroxene and red garnet crystals."
Eclogite,non foliated coarse red and green dense garnet and pyroxene
Eclogite,"metamorphic rock characterized by its high-pressure mineral assemblage, including garnet and pyroxene, often with additional minerals like omphacite or rutile."
Eclogite,Dense rock with a smooth or crystalline texture.
Eclogite, is a metamorphic rock that forms under high-pressure conditions at depths greater than 40 km within the Earth’s crust or upper mantle
Eclogite,"coarse-grained metamorphic rock with a variety of colors, including green, red, and black, typically composed of garnet and pyroxene minerals."
Eclogite, It is usually green in color and has a coarse-grained texture with red garnet crystals visible throughout the rock
Eclogite,"metamorphic rock with a granoblastic structure, characterized by coarse-grained garnet and pyroxene crystals."
Eclogite,Dense metamorphic rock containing green pyroxene and red garnet minerals.
Eclogite,"metamorphic rock with a granoblastic structure, characterized by coarse-grained garnet and pyroxene crystals."
Eclogite,"dense, dark-colored metamorphic rock formed under high-pressure conditions, typically consisting of green pyroxene and red garnet crystals."
Eclogite,"high-pressure metamorphic rock composed of garnet and pyroxene, characterized by its distinct green and red mineral assemblage, often formed in subduction zones."
Eclogite,metamorphic rock that forms under high-pressure conditions such as those at subduction zones.
Eclogite,"Green and red rock formed under high-pressure metamorphic conditions, found in subduction zones."
Eclogite,"metamorphic rock with a granoblastic fabric, characterized by coarse-grained garnet and pyroxene crystals."
Eclogite,non foliated coarse red and green dense garnet and pyroxene
Eclogite,"Green and red rock formed under high-pressure metamorphic conditions, found in subduction zones."
Eclogite,"A high-pressure metamorphic rock formed from basaltic or gabbroic protoliths, exhibiting a distinctive green and red mineral assemblage."
Eclogite,"metamorphic rock formed under high-pressure, high-temperature conditions in subduction zones or deep within the Earth's mantle."
Evaporite,"sedimentary rock with a crystalline structure, formed by the precipitation of minerals from concentrated solutions."
Evaporite,"sedimentary rock with a crystalline structure, formed by the precipitation of minerals from concentrated solutions."
Evaporite,"sedimentary rock with a crystalline fabric, formed by the precipitation of minerals from concentrated solutions"
Evaporite,Sedimentary rock formed from the precipitation of minerals due to evaporation of water.
Evaporite,A sedimentary rock that forms when water evaporates and leaves behind minerals such as halite (rock salt) or gypsum.
Evaporite,"sedimentary rock formed from evaporated water, often exhibiting white, gray, or pinkish colors due to the precipitation of salts."
Evaporite,"sedimentary rock formed from the precipitation of minerals due to the evaporation of water, commonly found in arid or saline environments."
Evaporite,"Light-colored rock formed from the evaporation of saline water, found in arid or saline environments."
Evaporite,"A sedimentary rock formed from the precipitation of minerals due to the evaporation of water, resulting in deposits such as salt or gypsum."
Evaporite,"Evaporites are sedimentary rocks that form from the precipitation of minerals such as halite (NaCl), gypsum (CaSO4·2H2O), or anhydrite (CaSO4) from evaporating water bodies such as lakes or seas."
Evaporite,sedimentary rock that forms when water evaporates and leaves behind minerals such as halite (rock salt) 
Evaporite,They are usually white to gray in color and have crystalline texture
Evaporite,"sedimentary rock formed from the precipitation of minerals due to the evaporation of water, often resulting in colorful layered deposits."
Evaporite,"sedimentary rock formed from the precipitation of dissolved minerals due to the evaporation of water, often composed of minerals like gypsum, halite, or calcite."
Evaporite,typically fine grained soft and light colored
Evaporite,typically fine grained soft and light colored
Evaporite,"sedimentary rock formed by the precipitation of minerals from evaporating water, resulting in deposits of salts such as halite and gypsum."
Evaporite,"Light-colored rock formed from the evaporation of saline water, found in arid or saline environments."
Evaporite,"sedimentary rock formed from the precipitation of minerals due to the evaporation of water, often resulting in colorful layered deposits."
Evaporite,Rock with a crystalline or layered texture formed by evaporation.
Flint,"Hard rock primarily composed of microcrystalline quartz, used historically for tools."
Flint,"hard, fine-grained rock primarily composed of microcrystalline quartz,"
Flint,"sedimentary rock with a cryptocrystalline structure, composed of dense and durable microcrystalline quartz."
Flint,"hard, dense sedimentary rock composed mainly of microcrystalline quartz."
Flint,"A hard and dense sedimentary rock composed mainly of microcrystalline silica, often used in prehistoric tools and weapons."
Flint,"hard, cryptocrystalline sedimentary rock primarily composed of silica, often used in the production of tools, weapons, and spark-ignition devices."
Flint,"A hard, dense sedimentary rock composed mainly of microcrystalline quartz."
Flint,"sedimentary rock with a cryptocrystalline fabric, consisting of dense and durable microcrystalline quartz."
Flint,"hard, microcrystalline rock primarily composed of silica, typically gray or black in color."
Flint,"It can be found in many colors including white, gray, brown, red, green,"
Flint,"sedimentary rock with a cryptocrystalline structure, composed of dense and durable microcrystalline quartz."
Flint,Hard rock with a smooth or glassy texture.
Flint,"sedimentary rock composed of microcrystalline quartz, often found as nodules in limestone or chalk."
Flint,"Gray or black sedimentary rock composed of microcrystalline quartz, found in chalk or limestone formations."
Flint,"hard, fine-grained rock primarily composed of microcrystalline quartz, often used historically for tools and weapons."
Flint,is a sedimentary rock that is composed primarily of microcrystalline quartz with impurities such as chert or calcite present. 
Flint,"Gray or black sedimentary rock composed of microcrystalline quartz, found in chalk or limestone formations."
Flint,composed mainly of microcrystalline quartz. It typically has a fine-grained texture and can range in color from gray to black
Flint,composed mainly of microcrystalline quartz. It typically has a fine-grained texture and can range in color from gray to black
Flint,"A hard, microcrystalline form of silica, primarily composed of the mineral chalcedony."
Gabbro,An intrusive igneous rock composed mainly of plagioclase feldspar and one or more mafic minerals such as pyroxene or olivine.
Gabbro,Dark-colored intrusive igneous rock found in oceanic crust and continental intrusions.
Gabbro,coarse medium to dark no quartz may have olivine made up of high calcium plagioclase minerals
Gabbro,"coarse-grained intrusive igneous rock with a dark green to black color, composed mainly of plagioclase feldspar and pyroxene minerals."
